City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,gilgit,35.9221,74.3087,28.71,42,11,1.38,PK,1692388840
271,rawson,-43.3002,-65.1023,5.85,83,99,10.95,AR,1692388470
272,manaure,11.7751,-72.4445,27.21,85,97,12.15,CO,1692388841
273,kavaratti,10.5669,72.642,27.84,73,91,5.52,IN,1692388841
274,upata,8.0086,-62.3989,25.04,88,100,0.74,VE,1692388841
275,moanda,-1.5575,13.2178,23.65,81,96,1.62,GA,1692388842
276,beyneu,45.3167,55.2,29.58,29,4,2.05,KZ,1692388842
277,katsuura,35.1333,140.3,25.99,92,1,1.55,JP,1692388510
278,katsuren-haebaru,26.3369,127.8719,28.01,86,0,1.54,JP,1692388525
279,seeb,23.6703,58.1891,30.37,52,0,1.83,OM,1692388843
280,dryden,49.7833,-92.7503,24.16,41,0,7.2,CA,1692388614
281,abeche,13.8292,20.8324,21.99,86,100,5.89,TD,1692388843
282,mandalgovi,45.7625,106.2708,12.84,48,6,1.32,MN,1692388844
283,taylor,32.3001,-99.8337,41.4,18,20,6.69,US,1692388844
284,mount pearl,47.5166,-52.7813,21.36,77,100,3.6,CA,1692388557
285,pakxan,18.3778,103.6601,26.63,96,47,1.34,LA,1692388845
286,ouani,-12.1322,44.4258,24.61,80,0,2.67,KM,1692388845
287,udachny,66.4167,112.4,8.03,87,5,6.2,RU,1692388628
288,bolobo,-2.1667,16.2333,26.77,65,77,0.72,CD,1692388846
289,cabo san lucas,22.8909,-109.9124,27.61,86,100,2.68,MX,1692388147
290,tofol,5.3248,163.0078,27.81,77,99,4.65,FM,1692388846
291,margate,51.3813,1.3862,22.72,90,100,0.89,GB,1692388594
292,nemuro,43.3236,145.575,17.56,95,0,0.74,JP,1692388847
293,andergrove,-21.0833,149.1833,18.75,38,0,5.86,AU,1692388596
294,banikoara,11.2985,2.4386,25.63,81,99,2.05,BJ,1692388847
295,namibe,-15.1961,12.1522,17.84,87,56,2.79,AO,1692388847
296,kapa'a,22.0752,-159.319,29.18,76,40,6.17,US,1692388430
297,burela de cabo,43.65,-7.4,20.65,74,94,6.11,ES,1692388848
298,haffouz,35.6324,9.6762,34.57,35,53,2.01,TN,1692388849
299,oltinko'l,40.8011,72.1634,21.53,23,0,2.91,UZ,1692388849
300,cidreira,-30.1811,-50.2056,20.32,82,100,2.75,BR,1692388517
301,curaca,-8.9903,-39.9094,30.29,35,75,5.92,BR,1692388850
302,cannonvale,-20.2833,148.7,21.66,71,4,4.37,AU,1692388555
303,iola,37.9245,-95.4,30.09,45,0,3.09,US,1692388850
304,vatra dornei,47.35,25.3667,19.2,78,4,0.84,RO,1692388851
305,nova sintra,14.8667,-24.7167,24.14,82,78,2.54,CV,1692388480
306,talnakh,69.4865,88.3972,15.17,65,100,2.48,RU,1692388466
307,natal,-5.795,-35.2094,25.12,94,75,5.66,BR,1692388291
